38920.000000	-19900.000000	24900.000000	-25600.000000	-7180.000000	12360.000000	39540.000000	28800.000000	36340.000000	9520.000000	30300.000000	3240.000000	24880.000000	69680.000000	41800.000000	19360.000000	69320.000000	-680.000000	1380.000000	73640.000000	50160.000000	47440.000000	82860.000000	-10280.000000	10740.000000	101100.000000	48780.000000	28440.000000	101680.000000	-12960.000000	23700.000000	132820.000000	42480.000000	29360.000000	135020.000000	-180.000000	40760.000000	152060.000000	31080.000000	41020.000000	151920.000000	13720.000000	65020.000000	-14280.000000	28200.000000	-4920.000000	-20360.000000	13140.000000	
37680.000000	-19820.000000	24820.000000	-25720.000000	-5940.000000	12340.000000	39620.000000	28720.000000	36440.000000	10420.000000	30060.000000	3140.000000	24980.000000	69700.000000	41920.000000	19640.000000	69180.000000	-560.000000	1940.000000	73420.000000	50440.000000	47160.000000	82760.000000	-10140.000000	11140.000000	100940.000000	49020.000000	28220.000000	101620.000000	-12760.000000	23840.000000	132740.000000	42660.000000	29340.000000	135000.000000	-40.000000	40840.000000	152040.000000	31200.000000	41080.000000	151880.000000	13860.000000	64000.000000	-15060.000000	27960.000000	-6000.000000	-20340.000000	13100.000000	
36340.000000	-19740.000000	24780.000000	-25660.000000	-4640.000000	12300.000000	39660.000000	28660.000000	36560.000000	11460.000000	29800.000000	3020.000000	25060.000000	69760.000000	42040.000000	19920.000000	69060.000000	-460.000000	2560.000000	73220.000000	50720.000000	46780.000000	82620.000000	-9980.000000	11540.000000	100800.000000	49260.000000	27960.000000	101600.000000	-12520.000000	24000.000000	132700.000000	42840.000000	29320.000000	135000.000000	120.000000	40920.000000	152040.000000	31340.000000	41120.000000	151880.000000	13980.000000	62880.000000	-15800.000000	27820.000000	-7020.000000	-20340.000000	13060.000000	
34960.000000	-19640.000000	24780.000000	-25380.000000	-3280.000000	12280.000000	39620.000000	28620.000000	36720.000000	12580.000000	29540.000000	2920.000000	25140.000000	69840.000000	42200.000000	20200.000000	68920.000000	-340.000000	3260.000000	73020.000000	51000.000000	46340.000000	82420.000000	-9820.000000	12000.000000	100680.000000	49520.000000	27680.000000	101580.000000	-12260.000000	24140.000000	132680.000000	43020.000000	29280.000000	135020.000000	260.000000	41000.000000	152060.000000	31460.000000	41160.000000	151880.000000	14100.000000	61720.000000	-16480.000000	27720.000000	-7900.000000	-20340.000000	13020.000000	
33560.000000	-19560.000000	24780.000000	-24920.000000	-1900.000000	12260.000000	39500.000000	28600.000000	36880.000000	13780.000000	29280.000000	2800.000000	25140.000000	69940.000000	42300.000000	20500.000000	68800.000000	-220.000000	4020.000000	72840.000000	51300.000000	45820.000000	82200.000000	-9680.000000	12460.000000	100560.000000	49780.000000	27380.000000	101580.000000	-11980.000000	24300.000000	132680.000000	43180.000000	29240.000000	135080.000000	400.000000	41080.000000	152080.000000	31580.000000	41200.000000	151900.000000	14240.000000	60520.000000	-17080.000000	27680.000000	-8680.000000	-20320.000000	12960.000000	
32160.000000	-19480.000000	24820.000000	-24300.000000	-520.000000	12260.000000	39280.000000	28560.000000	37060.000000	15060.000000	29060.000000	2700.000000	25140.000000	70040.000000	42420.000000	20800.000000	68700.000000	-100.000000	4840.000000	72660.000000	51600.000000	45220.000000	81940.000000	-9540.000000	12940.000000	100480.000000	50020.000000	27040.000000	101580.000000	-11700.000000	24460.000000	132700.000000	43340.000000	29180.000000	135140.000000	520.000000	41140.000000	152120.000000	31700.000000	41240.000000	151940.000000	14360.000000	59320.000000	-17580.000000	27680.000000	-9260.000000	-20240.000000	12880.000000	
30780.000000	-19420.000000	24840.000000	-23520.000000	840.000000	12280.000000	38960.000000	28540.000000	37220.000000	16400.000000	28880.000000	2600.000000	25100.000000	70160.000000	42560.000000	21080.000000	68620.000000	0.000000	5720.000000	72500.000000	51920.000000	44540.000000	81660.000000	-9400.000000	13460.000000	100420.000000	50280.000000	26680.000000	101600.000000	-11400.000000	24640.000000	132740.000000	43480.000000	29100.000000	135240.000000	640.000000	41200.000000	152160.000000	31820.000000	41280.000000	151980.000000	14460.000000	58080.000000	-18000.000000	27720.000000	-9640.000000	-20120.000000	12780.000000	
29420.000000	-19380.000000	24860.000000	-22620.000000	2120.000000	12320.000000	38540.000000	28520.000000	37380.000000	17760.000000	28740.000000	2520.000000	25000.000000	70280.000000	42680.000000	21340.000000	68560.000000	100.000000	6660.000000	72380.000000	52220.000000	43800.000000	81360.000000	-9260.000000	13960.000000	100360.000000	50520.000000	26300.000000	101640.000000	-11100.000000	24800.000000	132800.000000	43620.000000	29000.000000	135340.000000	740.000000	41260.000000	152220.000000	31920.000000	41320.000000	152040.000000	14560.000000	56840.000000	-18280.000000	27760.000000	-9780.000000	-19940.000000	12680.000000	
28040.000000	-19340.000000	24880.000000	-21620.000000	3320.000000	12380.000000	38020.000000	28500.000000	37520.000000	19140.000000	28660.000000	2460.000000	24900.000000	70420.000000	42800.000000	21620.000000	68540.000000	240.000000	7660.000000	72260.000000	52560.000000	42980.000000	81040.000000	-9120.000000	14480.000000	100340.000000	50760.000000	25900.000000	101680.000000	-10800.000000	24980.000000	132880.000000	43740.000000	28880.000000	135460.000000	840.000000	41300.000000	152300.000000	32020.000000	41340.000000	152120.000000	14660.000000	55560.000000	-18480.000000	27800.000000	-9680.000000	-19700.000000	12540.000000	
26660.000000	-19340.000000	24880.000000	-20520.000000	4380.000000	12480.000000	37420.000000	28480.000000	37620.000000	20520.000000	28660.000000	2400.000000	24800.000000	70540.000000	42940.000000	21880.000000	68540.000000	340.000000	8700.000000	72160.000000	52860.000000	42100.000000	80700.000000	-8980.000000	15020.000000	100340.000000	50980.000000	25460.000000	101740.000000	-10500.000000	25140.000000	132980.000000	43860.000000	28740.000000	135600.000000	920.000000	41340.000000	152360.000000	32100.000000	41360.000000	152200.000000	14760.000000	54240.000000	-18620.000000	27800.000000	-9300.000000	-19400.000000	12400.000000	
